"","D3","D2"
"756",2,3320
"757",1,1486
"758",2,3660
"759",2,4561
"760",1,1843
"761",3,4275
"762",1,3325
"763",2,2385
"764",1,4598
"765",2,876
"766",1,4327
"767",1,5377
"768",1,3531
"769",1,4860
"770",1,3527
"771",2,728
"772",1,3809
"773",1,4466
"774",1,3898
"775",1,3664
"776",2,2830
"777",1,3131
"778",1,5955
"779",1,4200
"780",2,1215
"781",1,4331
"782",1,4614
"783",1,4597
"784",1,3332
"785",1,4471
"786",1,4120
"787",1,5458
"788",1,1276
"789",1,2700
"790",1,4465
"791",2,2840
"792",1,4505
"793",2,2071
"794",1,3615
"795",1,3282
"796",1,3242
"797",1,5984
"798",1,3992
"799",2,3386
"800",1,5398
"801",2,1337
"802",2,2890
"803",2,3157
"804",2,2068
"805",2,3370
"806",1,1987
"807",1,3933
"808",2,2522
"809",1,227
"810",1,6373
"811",1,3554
"812",1,1157
"813",1,5315
"814",1,1996
"815",1,6332
"816",2,7516
"817",2,3550
"818",1,4204
"819",2,1522
"820",1,3557
"821",1,2455
"822",1,372
"823",1,3092
"824",1,624
"825",1,5034
"826",1,4707
"827",1,4643
"828",1,2755
"829",1,5136
"830",1,3084
"831",1,4387
"832",2,3184
"833",2,3894
"834",1,4480
"835",1,3313
"836",2,2566
"837",1,3728
"838",1,320
"839",2,3101
"840",1,4721
"841",1,1146
"842",1,3121
"843",1,5416
"844",1,4750
"845",1,514
"846",1,3617
"847",1,2911
"848",1,4653
"849",3,249
"850",2,207
"851",1,2526
"852",2,4488
"853",1,3060
"854",1,4344
"855",1,5365
"856",1,789
"857",1,3906
"858",1,4012
"859",2,4829
"860",2,3595
"861",1,5027
"862",2,4921
"863",1,475
"864",1,3590
"865",2,4602
"866",1,5357
"867",1,3672
"868",2,3286
"869",2,2572
"870",2,2351
"871",1,3661
"872",2,3086
"873",1,4919
"874",1,4777
"875",2,3632
"876",1,4478
"877",1,4732
"878",1,3864
"879",2,3950
"880",1,3721
"881",1,3311
"882",2,4694
"883",1,2833
"884",1,2757
"885",1,7508
"886",2,3882
"887",1,5795
"888",2,4279
"889",1,4698
"890",2,3199
"891",2,2777
"892",2,5207
"893",2,3319
"894",2,987
"895",1,4458
"896",2,2689
"897",1,2416
"898",1,3363
"899",1,4101
"900",1,4824
"901",1,6428
"902",1,3288
"903",2,5563
"904",2,3179
"905",1,4336
"906",1,3311
"907",2,4287
"908",2,2897
"909",1,1983
"910",2,3376
"911",2,1127
"912",2,2352
"913",1,6010
"914",2,4010
"915",1,4148
"916",1,3499
"917",2,410
"918",1,4096
"919",1,1186
"920",1,2246
"921",1,4653
"922",2,1503
"923",2,3411
"924",2,5166
"925",2,4894
"926",2,3729
"927",2,4329
"928",1,3872
"929",1,3816
"930",1,4664
"931",2,5276
"932",1,6836
"933",2,4221
"934",1,4108
"935",1,4040
"936",1,1096
"937",1,4839
"938",1,3870
"939",1,6523
"940",1,7261
"941",1,3425
"942",2,4000
"943",1,2494
"944",2,1565
"945",2,4388
"946",1,671
"947",2,3749
"948",1,5036
"949",1,4192
"950",1,4299
"951",2,2961
"952",1,4924
"953",2,3053
"954",1,5355
"955",1,8405
"956",1,4427
"957",1,4437
"958",1,4531
"959",2,5518
"960",1,4946
"961",1,1532
"962",2,1024
"963",2,4252
"964",1,4383
"965",1,4003
"966",1,2284
"967",1,2911
"968",1,4099
"969",1,6709
"970",1,3279
"971",1,4007
"972",1,5024
"973",1,5076
"974",1,4480
"975",1,1201
"976",1,542
"977",1,4869
"978",2,5576
"979",1,5810
"980",1,3195
"981",1,296
"982",1,4203
"983",1,3589
"984",2,4893
"985",1,4800
"986",1,6315
"987",1,4525
"988",1,5819
"989",1,3027
"990",2,1951
"991",1,3956
"992",2,3532
"993",2,1329
"994",2,1717
"995",1,1367
"996",1,2842
"997",1,3900
"998",1,4505
"999",1,4124
"1000",2,1252
"1001",1,7348
"1002",1,1967
"1003",1,2771
"1004",2,2835
"1005",1,7590
"1006",1,4321
"1007",1,2880
"1008",1,4667
"1009",2,4998
"1010",1,2660
"1011",1,2948
"1012",1,1165
"1013",1,2980
"1014",1,3778
"1015",2,3418
"1016",2,455
"1017",1,6852
"1018",1,3620
"1019",1,3266
"1020",1,2841
"1021",1,5166
"1022",1,4889
"1023",1,3018
"1024",1,4897
"1025",1,4900
"1026",1,3068
"1027",2,688
"1028",1,3599
"1029",2,2908
"1030",1,4522
"1031",1,5281
"1032",2,3400
"1033",1,3503
"1034",1,2769
"1035",2,3369
"1036",1,4935
"1037",1,4095
"1038",2,2796
"1039",1,3768
"1040",2,826
"1041",2,4461
"1042",2,3503
"1043",1,134
"1044",2,5396
"1045",1,2745
"1046",2,4218
"1047",2,4299
"1048",1,337
"1049",2,4907
"1050",2,2312
"1051",1,5084
"1052",2,2795
"1053",1,2552
"1054",2,2954
"1055",1,4881
"1056",2,4887
"1057",2,4762
"1058",2,4085
"1059",1,2011
"1060",1,5403
"1061",1,4689
"1062",1,423
"1063",1,5873
"1064",2,1606
"1065",1,4180
"1066",1,10372
"1067",1,4797
"1068",2,6840
"1069",1,4834
"1070",1,5011
"1071",1,3842
"1072",1,3812
"1073",2,6881
"1074",2,4504
"1075",1,994
"1076",1,4283
"1077",2,4032
"1078",2,2305
"1079",1,4584
"1080",1,4656
"1081",1,3588
"1082",1,786
"1083",1,6042
"1084",1,4476
"1085",1,5489
"1086",1,1517
"1087",2,3006
"1088",1,4983
"1089",2,3853
"1090",1,5909
"1091",1,3999
"1092",2,3379
"1093",1,4322
"1094",1,1006
"1095",1,249
"1096",2,1695
"1097",1,3908
"1098",1,2871
"1099",2,4380
"1100",1,3145
"1101",2,5117
"1102",1,6069
"1103",1,3271
"1104",1,3042
"1105",1,3895
"1106",1,6217
"1107",1,4587
"1108",1,4624
"1109",1,867
"1110",1,2849
"1111",1,5044
"1112",1,2370
"1113",2,3424
"1114",1,3583
"1115",2,3951
"1116",1,2814
"1117",1,5357
"1118",1,2834
"1119",1,2866
"1120",2,4625
"1121",2,3590
"1122",2,1829
"1123",1,3048
"1124",1,2369
"1125",1,5145
"1126",2,1717
"1127",1,3939
"1128",1,4007
"1129",1,5149
"1130",1,4600
"1131",1,3052
"1132",2,4471
"1133",1,3230
"1134",1,617
"1135",1,4739
"1136",2,5093
"1137",2,3673
"1138",1,1070
"1139",2,1224
"1140",1,4889
"1141",1,5406
"1142",1,3459
"1143",2,5502
"1144",2,4206
"1145",2,3849
"1146",1,5270
"1147",1,4900
"1148",1,4177
"1149",1,5363
"1150",1,5039
"1151",1,217
"1152",1,4892
"1153",1,2786
"1154",2,4115
"1155",1,4769
"1156",1,3447
"1157",1,5716
"1158",2,2327
"1159",1,1666
"1160",1,4260
"1161",2,3553
"1162",1,4379
"1163",1,2137
"1164",2,4046
"1165",1,3485
"1166",1,4614
"1167",1,3542
"1168",2,3081
"1169",1,3278
"1170",1,3922
"1171",1,5462
"1172",1,3303
"1173",2,5122
"1174",1,1441
"1175",1,3993
"1176",1,2962
"1177",1,843
"1178",1,5238
"1179",2,3968
"1180",1,3051
"1181",2,3571
"1182",2,4687
"1183",1,2883
"1184",1,5288
"1185",2,4051
"1186",1,1671
"1187",2,4453
"1188",1,4716
"1189",1,3648
"1190",2,901
"1191",1,5548
"1192",1,3773
"1193",1,513
"1194",1,5167
"1195",1,1821
"1196",1,650
"1197",1,3700
"1198",2,4208
"1199",1,5960
"1200",2,2697
"1201",1,4880
"1202",1,4001
"1203",1,4955
"1204",1,3272
"1205",1,2644
"1206",1,3148
"1207",1,2786
"1208",1,5180
"1209",1,6327
"1210",2,1624
"1211",1,2786
"1212",1,662
"1213",1,4425
"1214",1,4418
"1215",2,3327
"1216",1,4092
"1217",1,5211
"1218",1,3045
"1219",2,5265
"1220",1,3134
"1221",1,3428
"1222",1,5576
"1223",2,3211
"1224",2,1388
"1225",2,1013
"1226",2,2467
"1227",2,543
"1228",1,4777
"1229",2,3096
"1230",2,89
"1231",2,1386
"1232",1,5061
"1233",1,6645
"1234",1,1937
"1235",1,1538
"1236",2,2921
"1237",1,1475
"1238",2,2971
"1239",1,3480
"1240",1,3052
"1241",1,3983
"1242",1,4783
"1243",1,3598
"1244",2,2346
"1245",2,4748
"1246",1,4159
"1247",1,5740
"1248",1,5635
"1249",2,4985
"1250",2,4408
"1251",1,4316
"1252",1,294
"1253",2,5636
"1254",2,3163
"1255",1,3682
"1256",1,5763
"1257",1,1958
"1258",1,1911
"1259",1,3257
"1260",1,406
"1261",1,4102
"1262",1,3019
"1263",2,633
"1264",1,455
"1265",1,4781
"1266",2,4490
"1267",2,4180
"1268",1,4318
"1269",1,3035
"1270",1,5338
"1271",1,4620
"1272",1,1114
"1273",1,4211
"1274",2,3774
"1275",1,7636
"1276",1,3389
"1277",2,2442
"1278",1,5446
"1279",1,4623
"1280",1,6326
"1281",1,3042
"1282",1,4774
"1283",2,4170
"1284",2,2789
"1285",1,2909
"1286",1,4844
"1287",1,1020
"1288",1,3414
"1289",2,3497
"1290",2,2073
"1291",1,2700
"1292",1,3773
"1293",1,3738
"1294",2,749
"1295",1,6631
"1296",1,3206
"1297",2,5785
"1298",2,2619
"1299",1,3347
"1300",2,1931
"1301",1,3251
"1302",2,3021
"1303",1,5006
"1304",1,3501
"1305",2,2205
"1306",1,3593
"1307",1,1205
"1308",1,1569
"1309",1,2533
"1310",1,3136
"1311",1,6482
"1312",1,4857
"1313",1,2917
"1314",2,4006
"1315",2,916
"1316",2,2613
"1317",1,1746
"1318",1,1607
"1319",1,762
"1320",1,6403
"1321",1,2695
"1322",1,5082
"1323",1,3250
"1324",1,3383
"1325",1,3948
"1326",1,4819
"1327",2,231
"1328",1,1912
"1329",1,2362
"1330",1,5785
"1331",1,652
"1332",1,3875
"1333",1,3669
"1334",1,1976
"1335",1,3687
"1336",1,3352
"1337",1,407
"1338",1,726
"1339",1,481
"1340",2,1045
"1341",1,3138
"1342",1,3167
"1343",1,204
"1344",1,6182
"1345",1,4003
"1346",1,4851
"1347",1,5057
"1348",2,6769
"1349",1,2713
"1350",1,3723
"1351",2,5437
"1352",2,5136
"1353",2,2839
"1354",1,4162
"1355",1,744
"1356",1,3588
"1357",2,4454
"1358",1,2569
"1359",1,5505
"1360",2,3386
"1361",1,1430
"1362",1,647
"1363",1,3960
"1364",1,6238
"1365",1,5438
"1366",2,4604
"1367",2,3797
"1368",2,4173
"1369",2,3427
"1370",2,4032
"1371",1,892
"1372",1,3770
"1373",1,3007
"1374",1,3407
"1375",1,3249
"1376",2,3084
"1377",1,2640
"1378",2,3279
"1379",1,5990
"1380",1,3966
"1381",1,3807
"1382",2,3155
"1383",2,4329
"1384",1,1271
"1385",1,5086
"1386",1,5513
"1387",2,3772
"1388",1,1019
"1389",1,4829
"1390",2,1507
"1391",1,4186
"1392",1,260
"1393",1,3943
"1394",1,2511
"1395",1,3409
"1396",2,4273
"1397",2,3409
"1398",2,4835
"1399",1,3107
"1400",2,3038
"1401",1,5298
"1402",1,5634
"1403",1,4935
"1404",1,3201
"1405",1,3554
"1406",1,2368
"1407",1,4000
"1408",1,3410
"1409",1,2416
"1410",1,3944
"1411",1,2382
"1412",1,5123
"1413",1,4616
"1414",1,3390
"1415",2,5106
"1416",1,4217
"1417",1,4461
"1418",2,3960
"1419",1,1267
"1420",1,503
"1421",1,3619
"1422",1,3713
"1423",2,2874
"1424",1,3875
"1425",1,5372
"1426",2,4355
"1427",2,1979
"1428",1,2989
"1429",2,831
"1430",1,2201
"1431",1,4468
"1432",2,3472
"1433",2,3669
"1434",1,979
"1435",2,2765
"1436",2,4654
"1437",1,2800
"1438",1,4647
"1439",1,2468
"1440",1,894
"1441",2,4734
"1442",1,3503
"1443",1,165
"1444",1,6444
"1445",1,2974
"1446",2,3114
"1447",1,5877
"1448",2,1569
"1449",1,5300
"1450",1,5141
"1451",1,1398
"1452",1,4955
"1453",1,4776
"1454",1,3292
"1455",1,5226
"1456",1,809
"1457",1,5595
"1458",1,1148
"1459",2,578
"1460",2,3270
"1461",2,3206
"1462",2,2644
"1463",2,4803
"1464",1,2735
"1465",2,3090
"1466",1,3224
"1467",1,4114
"1468",2,6205
"1469",1,3866
"1470",1,4932
"1471",2,2931
"1472",1,3674
"1473",1,1398
"1474",1,323
"1475",2,4565
"1476",2,4467
"1477",2,2001
"1478",1,396
"1479",1,6017
"1480",2,3274
"1481",2,4355
"1482",1,2328
"1483",1,4118
"1484",1,2599
"1485",1,2889
"1486",1,4894
"1487",1,3596
"1488",2,3536
"1489",1,4181
"1490",2,3595
"1491",2,6759
"1492",1,4635
"1493",1,3931
"1494",2,3983
"1495",2,2643
"1496",1,3779
"1497",2,3247
"1498",1,4053
"1499",1,3880
"1500",2,1560
"1501",1,6243
"1502",2,2823
"1503",1,4048
"1504",2,4907
"1505",1,2970
"1506",1,6146
"1507",1,1153
"1508",2,4581
"1509",2,2818
"1510",2,2940
"1511",1,5500
"1512",1,4982
"1513",1,4762
"1514",1,4937
"1515",1,4668
"1516",1,3284
"1517",2,2949
"1518",2,1615
"1519",2,3000
"1520",2,3431
"1521",1,4740
"1522",2,4701
"1523",2,1220
"1524",1,5159
"1525",1,2802
"1526",2,2952
"1527",1,6101
"1528",2,3275
"1529",2,5596
"1530",1,5913
"1531",1,3324
"1532",1,4154
"1533",2,605
"1534",1,1360
"1535",2,1535
"1536",1,3104
"1537",1,7293
"1538",2,1430
"1539",1,6781
"1540",1,4819
"1541",1,4184
"1542",1,3349
"1543",1,5072
"1544",1,836
"1545",2,3359
"1546",1,4852
"1547",1,1586
"1548",1,1068
"1549",1,2446
"1550",1,723
"1551",1,234
"1552",1,652
"1553",1,3261
"1554",1,2370
"1555",1,6072
"1556",1,2319
"1557",1,5567
"1558",1,1878
"1559",1,3493
"1560",1,4869
"1561",1,3010
"1562",2,4854
"1563",1,3585
"1564",1,3921
"1565",1,5212
"1566",2,600
"1567",1,3250
"1568",1,9662
"1569",1,3218
"1570",2,4069
"1571",1,2360
"1572",1,3932
"1573",1,5222
"1574",1,6687
"1575",1,462
"1576",1,7033
"1577",1,4254
"1578",1,4409
"1579",2,2569
"1580",1,3219
"1581",2,3548
"1582",2,633
"1583",1,1030
"1584",1,4725
"1585",1,11183
"1586",1,930
"1587",1,4202
"1588",1,1220
"1589",1,4900
"1590",2,730
"1591",1,3132
"1592",1,1166
"1593",1,5755
"1594",1,834
"1595",1,130
"1596",2,3812
"1597",2,2194
"1598",2,3233
"1599",1,4388
"1600",1,5566
"1601",1,3023
"1602",1,3115
"1603",1,3095
"1604",1,6141
"1605",1,5078
"1606",1,2587
"1607",1,4873
"1608",2,3039
"1609",2,2133
"1610",2,4937
"1611",1,4216
"1612",1,3540
"1613",2,2150
"1614",2,3649
"1615",2,729
"1616",1,4908
"1617",2,2467
"1618",1,5169
"1619",1,516
"1620",2,2698
"1621",1,3408
"1622",2,2291
"1623",1,4817
"1624",1,4068
"1625",1,2360
"1626",1,5111
"1627",2,1742
"1628",1,4338
"1629",2,1957
"1630",2,1743
"1631",2,5128
"1632",2,1218
"1633",2,2893
"1634",1,5122
"1635",1,3483
"1636",1,3080
"1637",1,4500
"1638",2,2860
"1639",2,4271
"1640",1,7101
"1641",2,5919
"1642",2,3399
"1643",2,3098
"1644",1,678
"1645",1,5208
"1646",2,3027
"1647",1,3224
"1648",2,2913
"1649",1,4043
"1650",1,3143
"1651",2,3667
"1652",2,2783
"1653",2,1346
"1654",2,4071
"1655",1,3380
"1656",1,3683
"1657",1,3760
"1658",1,4013
"1659",1,4344
"1660",1,3571
"1661",1,1429
"1662",1,5542
"1663",1,4270
"1664",2,3376
"1665",1,5366
"1666",1,4465
"1667",2,5258
"1668",1,3960
"1669",1,164
"1670",2,525
"1671",1,5410
"1672",2,3570
"1673",1,43
"1674",1,4441
"1675",1,5176
"1676",1,4821
"1677",2,2808
"1678",1,4159
"1679",1,4782
